frame_idx,timestamp_ms,bone_name,start_joint,end_joint,confidence,human_delta_deg,applied_angle_deg,target_x,target_y,target_z
10,333.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.157,128.2021,128.2021,-0.16638,-0.21629,-0.96205
10,333.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.157,83.9613,83.9613,-0.04916,0.21052,-0.97635
10,333.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.2563,52.6821,52.6821,-0.09672,0.87813,-0.46853
10,333.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.2563,23.033,23.033,-0.11822,0.74467,-0.65688
10,333.0,leg_joint_L_1,left_hip,left_knee,0.7444,12.9803,12.9803,-0.11748,-0.56785,-0.81471
10,333.0,leg_joint_L_2,left_knee,left_ankle,0.7444,9.598,9.598,0.01975,0.54888,-0.83567
10,333.0,leg_joint_R_1,right_hip,right_knee,0.8372,8.7663,8.7663,0.31786,-0.34455,-0.88332
10,333.0,leg_joint_R_2,right_knee,right_ankle,0.8372,11.2686,11.2686,-0.03926,0.59461,-0.80305
10,333.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9965,7.7547,7.7547,-0.1226,-0.55978,0.81952
15,500.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.3392,166.8653,166.8653,-0.69613,-0.68955,-0.19981
15,500.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.3392,80.9422,80.9422,-0.74528,0.01181,-0.66665
15,500.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.4019,81.2985,81.2985,-0.03138,0.54987,-0.83466
15,500.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.4019,120.7617,120.7617,-0.43397,-0.74435,-0.50755
15,500.0,leg_joint_L_1,left_hip,left_knee,0.7886,25.1406,25.1406,-0.06446,-0.38773,-0.91952
15,500.0,leg_joint_L_2,left_knee,left_ankle,0.7886,17.9741,17.9741,-0.07466,0.42614,-0.90157
15,500.0,leg_joint_R_1,right_hip,right_knee,0.8586,15.1159,15.1159,0.39611,-0.22478,-0.89027
15,500.0,leg_joint_R_2,right_knee,right_ankle,0.8586,19.0512,19.0512,0.03609,0.49677,-0.86713
15,500.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9974,9.2968,9.2968,-0.1462,-0.51817,0.84269
20,666.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.2998,102.8558,102.8558,0.66858,-0.5665,-0.48174
20,666.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.2998,111.0861,111.0861,0.42175,-0.14217,-0.8955
20,666.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.6383,26.3294,26.3294,0.37632,0.86286,0.33741
20,666.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.6383,97.4905,97.4905,0.69359,0.15226,0.70409
20,666.0,leg_joint_L_1,left_hip,left_knee,0.837,35.6104,35.6104,-0.01501,-0.21988,-0.97541
20,666.0,leg_joint_L_2,left_knee,left_ankle,0.837,36.9461,36.9461,-0.29418,0.15716,-0.94274
20,666.0,leg_joint_R_1,right_hip,right_knee,0.9136,29.1625,29.1625,0.52415,0.00158,-0.85162
20,666.0,leg_joint_R_2,right_knee,right_ankle,0.9136,31.1848,31.1848,0.12069,0.31749,-0.94055
20,666.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9978,27.3317,27.3317,0.03052,-0.28473,0.95812
25,833.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.5607,6.3082,6.3082,0.51323,0.71374,0.47663
25,833.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.5607,119.7007,119.7007,0.6186,-0.24117,-0.74777
25,833.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.7754,18.4567,18.4567,0.20229,0.946,0.25329
25,833.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.768,91.6417,91.6417,0.74985,0.23572,0.61819
25,833.0,leg_joint_L_1,left_hip,left_knee,0.8866,39.7527,39.7527,-0.12405,-0.13634,-0.98287
25,833.0,leg_joint_L_2,left_knee,left_ankle,0.8866,73.3364,73.3364,-0.57325,-0.3697,-0.73123
25,833.0,leg_joint_R_1,right_hip,right_knee,0.9424,30.348,30.348,0.44804,0.03705,-0.89324
25,833.0,leg_joint_R_2,right_knee,right_ankle,0.9424,54.5171,54.5171,0.0144,-0.11942,-0.99274
25,833.0,Skeleton_torso_joint_1,__mid_hip__,__mid_sho__,0.9986,48.516,48.516,0.12991,0.07605,0.9886
30,1000.0,Skeleton_arm_joint_L__4_,left_shoulder,left_elbow,0.7104,13.1694,13.1694,0.47583,0.66126,0.57993
30,1000.0,Skeleton_arm_joint_L__3_,left_elbow,left_wrist,0.7104,123.1949,123.1949,0.30445,-0.37923,-0.87378
30,1000.0,Skeleton_arm_joint_R,right_shoulder,right_elbow,0.7711,47.3989,47.3989,0.49086,0.43748,0.75344
30,1000.0,Skeleton_arm_joint_R__2_,right_elbow,right_wrist,0.6627,110.9671,110.9671,0.81423,-0.124,0.56714
30,1000.0,leg_joint_L_1,left_hip,left_knee,0.9152,36.4574,36.4574,-0.18669,-0.19227,-0.96342
30,1000.0,leg_joint_L_2,left_knee,left_ankle,0.9074,91.9005,91.9005,-0.01824,-0.75566,-0.65471
30,1000.0,leg_joint_R_1,right_hip,right_knee,0.9336,43.4174,43.4174,-0.00547,0.14779,-0.989
