frame_idx,timestamp_ms,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.5,0.0,1.0,0.4,0.0,0.5,1.0,-0.6,-0.5,0.0,1.0,0.6,0.5,1.0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.4,0.0,1.0,0.1,0.8,0.4,1.0,-0.1,0.8,0.0,1.0,0.1,1.6,0.8,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
1,33,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.4500832916765859,0.04991670832341408,1.0,0.4,-0.0024979173609870897,0.4975020826390129,1.0,-0.6,-0.40016658335317185,0.09983341664682815,1.0,0.6,0.4950041652780258,0.9950041652780258,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.4279771389350131,0.027977138935013104,1.0,0.1,0.7990204001013119,0.39902040010131185,1.0,-0.1,0.8559542778700262,0.05595427787002621,1.0,0.1,1.5980408002026238,0.7980408002026237,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
2,66,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.4006653346024694,0.09933466539753061,1.0,0.4,-0.009966711079379187,0.4900332889206208,1.0,-0.6,-0.3013306692049388,0.19866933079506122,1.0,0.6,0.4800665778412416,0.9800665778412416,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.4558172458576946,0.05581724585769459,1.0,0.1,0.7960863984850549,0.3960863984850549,1.0,-0.1,0.9116344917153892,0.11163449171538918,1.0,0.1,1.5921727969701098,0.7921727969701098,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
3,99,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.3522398966693302,0.14776010333066977,1.0,0.4,-0.02233175543719701,0.477668244562803,1.0,-0.6,-0.20447979333866045,0.29552020666133955,1.0,0.6,0.455336489125606,0.955336489125606,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.48338395993843986,0.08338395993843983,1.0,0.1,0.7912123658896594,0.39121236588965935,1.0,-0.1,0.9667679198768797,0.16676791987687967,1.0,0.1,1.5824247317793187,0.7824247317793187,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
4,132,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.3052908288456747,0.19470917115432526,1.0,0.4,-0.03946950299855745,0.46053049700144255,1.0,-0.6,-0.11058165769134948,0.3894183423086505,1.0,0.6,0.4210609940028851,0.9210609940028851,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.5105422594256455,0.1105422594256455,1.0,0.1,0.7844221753243085,0.38442217532430845,1.0,-0.1,1.021084518851291,0.221084518851291,1.0,0.1,1.568844350648617,0.7688443506486169,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
5,165,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.2602872306978985,0.2397127693021015,1.0,0.4,-0.06120871905481362,0.4387912809451864,1.0,-0.6,-0.020574461395796995,0.479425538604203,1.0,0.6,0.37758256189037276,0.8775825618903728,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.5371591229821806,0.13715912298218055,1.0,0.1,0.7757490851389516,0.37574908513895156,1.0,-0.1,1.0743182459643612,0.2743182459643611,1.0,0.1,1.5514981702779032,0.7514981702779031,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
6,198,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.21767876330248231,0.2823212366975177,1.0,0.4,-0.08733219254516084,0.41266780745483916,1.0,-0.6,0.06464247339503537,0.5646424733950354,1.0,0.6,0.32533561490967833,0.8253356149096783,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.5631041812238281,0.16310418122382808,1.0,0.1,0.7652355761249233,0.3652355761249233,1.0,-0.1,1.1262083624476562,0.32620836244765616,1.0,0.1,1.5304711522498466,0.7304711522498466,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
7,231,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.1778911563811545,0.3221088436188455,1.0,0.4,-0.11757890635775575,0.38242109364224425,1.0,-0.6,0.14421768723769102,0.644217687237691,1.0,0.6,0.2648421872844885,0.7648421872844885,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.5882503552684633,0.1882503552684632,1.0,0.1,0.7529331434440487,0.35293314344404864,1.0,-0.1,1.1765007105369265,0.3765007105369264,1.0,0.1,1.5058662868880974,0.7058662868880973,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
8,264,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.1413219545502386,0.3586780454497614,1.0,0.4,-0.1516466453264173,0.3483533546735827,1.0,-0.6,0.2173560908995228,0.7173560908995228,1.0,0.6,0.1967067093471654,0.6967067093471654,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.6124744791683534,0.21247447916835338,1.0,0.1,0.7389020444053664,0.3389020444053665,1.0,-0.1,1.2249489583367068,0.42494895833670676,1.0,0.1,1.4778040888107329,0.677804088810733,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
9,297,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.2,-0.5,0,1.0,0.2,-0.5,0,1.0,-0.4,-0.10833654518625829,0.3916634548137417,1.0,0.4,-0.1891950158646678,0.3108049841353322,1.0,-0.6,0.2833269096274834,0.7833269096274834,1.0,0.6,0.12160996827066439,0.6216099682706644,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,-0.1,0,0,1.0,0.1,0,0,1.0,-0.1,0.6356579031769078,0.23565790317690782,1.0,0.1,0.7232110033248608,0.32321100332486075,1.0,-0.1,1.2713158063538157,0.47131580635381565,1.0,0.1,1.4464220066497215,0.6464220066497215,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0,0,0,0,1.0
