frame_idx,timestamp_ms,root_x,root_y,root_z,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0,0.342956,0.518117,-0.000256,-0.117764,-0.171878,0.418248,0.2414,-0.139149,-0.186937,0.410666,0.1302,-0.139265,-0.187749,0.410786,0.1575,-0.140259,-0.188081,0.410981,0.1189,-0.125369,-0.197464,0.421891,0.1614,-0.12565,-0.197858,0.421496,0.1851,-0.126343,-0.199324,0.421869,0.1439,-0.156144,-0.190774,0.339202,0.1726,-0.11392,-0.24957,0.37075,0.2121,-0.114853,-0.169851,0.391865,0.2179,-0.103171,-0.182715,0.399505,0.3273,-0.169242,-0.119809,0.233658,0.9956,-0.012376,-0.256426,0.301016,0.9989,-0.125473,0.095204,0.137134,0.0554,0.119457,-0.142335,0.26442,0.1882,-0.085098,0.231944,0.061511,0.3195,0.154654,-0.049058,0.260539,0.2454,-0.082434,0.306237,0.055257,0.5294,0.191794,-0.01704,0.275943,0.3472,-0.08901,0.284409,0.075081,0.504,0.174588,-0.013469,0.288355,0.3181,-0.087373,0.237544,0.07,0.4476,0.152818,-0.041719,0.270336,0.2988,-0.050099,0.029557,-0.000967,0.9999,0.049665,-0.030021,0.002792,1.0,-0.086497,0.208237,0.243923,0.5614,0.145311,0.146477,0.123135,0.8016,-0.109973,0.364817,0.100963,0.9008,0.098245,0.34282,-0.110344,0.9694,-0.104226,0.389657,0.085778,0.9416,0.092712,0.37731,-0.129127,0.9859,-0.100259,0.482457,0.092816,0.7964,0.130482,0.470748,-0.155411,0.9174
1,33,0.338992,0.517974,-0.00026,-0.14073,-0.487965,0.416131,0.3148,-0.170555,-0.505856,0.403117,0.2133,-0.170502,-0.506226,0.403736,0.2378,-0.171417,-0.50699,0.404005,0.2032,-0.138335,-0.514267,0.410477,0.2418,-0.138496,-0.515006,0.410167,0.2631,-0.139497,-0.516015,0.410132,0.2262,-0.212652,-0.442991,0.307325,0.2504,-0.106425,-0.493624,0.310611,0.2871,-0.148282,-0.451042,0.385377,0.2923,-0.112886,-0.462202,0.386471,0.3915,-0.173932,-0.128796,0.233371,0.9959,-0.011849,-0.263743,0.296277,0.999,-0.29384,-0.075365,0.240615,0.064,0.109449,-0.252681,0.215518,0.2383,-0.159645,-0.049354,0.318474,0.294,0.133519,-0.200626,0.263358,0.2616,-0.082434,0.306237,0.055257,0.4851,0.150603,-0.184469,0.286558,0.3508,-0.08901,0.284409,0.075081,0.4622,0.139945,-0.19734,0.298318,0.3236,-0.140694,-0.049165,0.328802,0.4115,0.131853,-0.20068,0.275072,0.3049,-0.050855,0.029556,-0.00077,0.9999,0.050398,-0.03002,0.002596,1.0,-0.086698,0.20826,0.245071,0.5488,0.145426,0.148211,0.128289,0.7702,-0.109201,0.365363,0.09983,0.8935,0.101031,0.344114,-0.105815,0.9608,-0.103296,0.390432,0.084029,0.9415,0.095906,0.37867,-0.124618,0.984,-0.099708,0.482307,0.091151,0.7987,0.133164,0.47115,-0.150074,0.913
2,66,0.336961,0.516841,-0.000275,-0.129725,-0.470589,0.374779,0.2974,-0.151789,-0.489414,0.356462,0.2004,-0.151846,-0.49001,0.357345,0.2233,-0.152254,-0.490397,0.35748,0.192,-0.111346,-0.495148,0.369177,0.229,-0.111161,-0.495733,0.36876,0.25,-0.112165,-0.497007,0.36906,0.2175,-0.193472,-0.432339,0.252596,0.2323,-0.041784,-0.468362,0.284702,0.2726,-0.143089,-0.438121,0.340658,0.2723,-0.094718,-0.444309,0.347812,0.3655,-0.177246,-0.139908,0.229342,0.9951,-0.009169,-0.270518,0.291473,0.9988,-0.378598,-0.365675,0.120217,0.0721,0.102488,-0.407206,0.222155,0.2422,-0.498115,-0.452126,0.043523,0.3079,0.112052,-0.561779,0.222325,0.2664,-0.082434,0.306237,0.055257,0.4932,0.129734,-0.597401,0.23158,0.3679,-0.08901,0.284409,0.075081,0.4733,0.107658,-0.621039,0.232996,0.3403,-0.497539,-0.460053,0.050078,0.4193,0.105081,-0.580227,0.228938,0.3162,-0.052125,0.029564,-0.00058,0.9999,0.051663,-0.030023,0.002407,1.0,-0.087179,0.209032,0.246066,0.5103,0.145048,0.150348,0.131721,0.7213,-0.107587,0.366109,0.096675,0.8643,0.10148,0.345314,-0.103242,0.94,-0.10121,0.391268,0.080068,0.9395,0.096479,0.379859,-0.122701,0.9802,-0.097666,0.482393,0.087827,0.7898,0.133544,0.471856,-0.146423,0.9022
3,100,0.338577,0.52212,-0.000267,-0.069003,-0.540634,0.379062,0.3581,-0.095097,-0.550769,0.365162,0.2663,-0.095226,-0.551394,0.365871,0.2887,-0.095758,-0.551969,0.366199,0.2625,-0.065872,-0.555044,0.373564,0.2957,-0.065241,-0.555598,0.373105,0.3162,-0.066673,-0.556947,0.37356,0.2875,-0.139211,-0.471565,0.260584,0.2929,-0.029244,-0.498816,0.295883,0.3341,-0.078907,-0.502816,0.349823,0.3224,-0.045001,-0.507059,0.353993,0.4037,-0.17765,-0.153076,0.22933,0.9954,-0.006232,-0.2805,0.28737,0.9989,-0.288995,-0.38964,0.295895,0.0769,0.067175,-0.593147,0.274724,0.2969,-0.322151,-0.470224,0.287572,0.3112,0.06411,-0.835467,0.304118,0.3286,-0.082434,0.306237,0.055257,0.4872,0.086677,-0.90372,0.310888,0.4251,-0.08901,0.284409,0.075081,0.4699,0.065001,-0.919817,0.298584,0.3989,-0.316566,-0.477204,0.292204,0.4151,0.060846,-0.856822,0.308478,0.373,-0.053285,0.029556,0.000713,0.9999,0.052817,-0.030008,0.001127,1.0,-0.086617,0.210632,0.247152,0.5312,0.145788,0.153543,0.132304,0.7337,-0.104005,0.367086,0.09266,0.8656,0.10204,0.348496,-0.106779,0.9355,-0.097124,0.392285,0.074974,0.9437,0.097042,0.382953,-0.126818,0.9803,-0.094125,0.482472,0.08379,0.7998,0.134026,0.475063,-0.148893,0.9028
4,133,0.345085,0.535339,-6.4e-05,-0.018411,-0.618689,0.074396,0.4207,-0.036749,-0.650726,0.059886,0.3375,-0.036413,-0.65135,0.06033,0.3575,-0.036979,-0.651771,0.060576,0.3341,-0.02107,-0.650029,0.060395,0.3641,-0.020727,-0.65086,0.0597,0.3825,-0.02137,-0.652012,0.060598,0.3569,-0.0717,-0.619433,0.027831,0.3604,-0.012964,-0.624455,0.018591,0.3976,-0.027914,-0.589143,0.069058,0.3867,-0.010396,-0.589282,0.066496,0.459,-0.171565,-0.172458,0.217027,0.9955,-0.00456,-0.291985,0.272255,0.9984,-0.082984,-0.48044,-0.035381,0.1439,0.026912,-0.411551,-0.029577,0.3114,-0.096606,-0.561644,-0.107669,0.3602,0.049444,-0.495358,-0.098638,0.343,-0.084601,0.239571,0.041986,0.5129,0.065946,-0.548265,-0.097692,0.4286,-0.08901,0.284409,0.075081,0.4958,0.057904,-0.524182,-0.102181,0.4026,-0.095454,-0.56692,-0.105298,0.4411,0.052945,-0.503533,-0.098863,0.3762,-0.050797,0.02926,0.000482,0.9999,0.050325,-0.029703,0.001364,0.9998,-0.08322,0.21413,0.239664,0.5702,0.141485,0.158075,0.130874,0.7452,-0.095679,0.372597,0.086189,0.8657,0.099273,0.355485,-0.100991,0.9319,-0.087986,0.398132,0.068278,0.9394,0.094228,0.390092,-0.119885,0.9716,-0.086245,0.486264,0.076087,0.8044,0.129093,0.480526,-0.142823,0.9003
5,166,0.342591,0.532229,3e-06,0.064275,-0.607619,0.219849,0.4784,0.039984,-0.634474,0.205248,0.4036,0.040578,-0.635098,0.205739,0.4215,0.040333,-0.635689,0.205842,0.4005,0.066116,-0.63345,0.206927,0.4275,0.066338,-0.633934,0.206362,0.4441,0.066003,-0.635246,0.206721,0.421,-0.032517,-0.581036,0.144998,0.4241,0.068893,-0.592973,0.126365,0.4576,0.037464,-0.57115,0.202813,0.4478,0.067696,-0.570408,0.198593,0.5128,-0.165292,-0.189055,0.209401,0.9952,0.000528,-0.303839,0.259481,0.9985,-0.04933,-0.422302,-0.004337,0.1478,0.091494,-0.471079,-0.059732,0.3195,-0.012037,-0.521363,-0.12965,0.3683,0.084249,-0.569749,-0.172176,0.3706,-0.082607,0.214248,0.036539,0.5155,0.075121,-0.586047,-0.180213,0.4546,-0.081627,0.208359,0.05658,0.5007,0.078275,-0.601581,-0.170209,0.431,-0.005492,-0.525859,-0.125083,0.4478,0.087641,-0.576643,-0.165929,0.4022,-0.048691,0.029005,0.000834,0.9999,0.048276,-0.029444,0.001024,0.9998,-0.080564,0.219635,0.234101,0.6051,0.137879,0.164742,0.127054,0.7659,-0.087097,0.382928,0.06968,0.8771,0.103379,0.36545,-0.112193,0.9365,-0.078441,0.40959,0.049021,0.9446,0.099054,0.400405,-0.132442,0.9728,-0.077426,0.495535,0.056391,0.821,0.13206,0.490767,-0.155753,0.9069
6,200,0.342168,0.531709,3e-06,0.0724,-0.638136,0.122648,0.5289,0.06805,-0.663393,0.110474,0.461,0.068514,-0.663941,0.110976,0.4769,0.068244,-0.664247,0.110824,0.4583,0.082209,-0.661479,0.113586,0.4824,0.082678,-0.662189,0.11296,0.4973,0.082249,-0.66343,0.11329,0.4771,0.029581,-0.61705,0.074066,0.4778,0.083866,-0.620194,0.075302,0.5074,0.052501,-0.604965,0.110871,0.4996,0.067727,-0.571615,0.195456,0.5577,-0.151514,-0.206849,0.197123,0.9952,0.003362,-0.316035,0.246581,0.9981,0.031828,-0.330766,-0.041781,0.1946,-0.017779,-0.44242,-0.027232,0.3088,0.002806,-0.341713,-0.134753,0.3839,-0.029617,-0.393524,-0.174237,0.3583,-0.080288,0.19545,0.030132,0.5087,-0.025538,-0.361988,-0.194264,0.4371,-0.081627,0.208359,0.05658,0.4954,-0.014442,-0.403941,-0.201955,0.4161,0.001659,-0.348595,-0.134856,0.4419,-0.019501,-0.395966,-0.179289,0.387,-0.042992,0.028364,0.000554,0.9997,0.042618,-0.028802,0.00131,0.9996,-0.076944,0.225812,0.219412,0.6402,0.132013,0.173487,0.119425,0.7801,-0.077579,0.399146,0.05885,0.8839,0.103039,0.383511,-0.108819,0.9347,-0.068015,0.427748,0.037673,0.9404,0.099402,0.419377,-0.127615,0.9557,-0.066477,0.510043,0.04266,0.8317,0.129615,0.507822,-0.155217,0.904
7,233,0.343057,0.530784,-5.1e-05,0.070462,-0.635173,0.135313,0.5731,0.019875,-0.591734,0.389943,0.5105,0.019823,-0.592216,0.390271,0.5254,0.019276,-0.592714,0.390074,0.5069,0.031283,-0.595038,0.392424,0.5302,0.031583,-0.595723,0.391858,0.5445,0.030968,-0.597079,0.391313,0.5256,0.017753,-0.5451,0.293829,0.5267,0.082338,-0.618302,0.084031,0.5545,0.013647,-0.535386,0.387559,0.5462,0.066147,-0.570218,0.203854,0.5993,-0.141456,-0.222683,0.196249,0.9955,0.008383,-0.32682,0.242842,0.9982,-0.03621,-0.282796,0.012499,0.1811,-0.001129,-0.297031,0.039265,0.2925,0.012091,-0.31767,-0.122728,0.3571,0.016783,-0.136967,-0.050555,0.3343,-0.080288,0.19545,0.030132,0.4775,0.026168,-0.09044,-0.048125,0.4086,-0.081627,0.208359,0.05658,0.4654,0.025106,-0.106719,-0.046189,0.389,0.020761,-0.322721,-0.123547,0.4159,0.020543,-0.128225,-0.04615,0.3624,-0.03932,0.027706,-1.2e-05,0.9997,0.039111,-0.028141,0.001893,0.9996,-0.074,0.235189,0.207633,0.675,0.127261,0.185367,0.1138,0.8004,-0.068275,0.420568,0.044852,0.8941,0.103263,0.40436,-0.106121,0.9396,-0.057974,0.451481,0.022794,0.9459,0.100115,0.441232,-0.124043,0.9591,-0.058474,0.529294,0.026519,0.8378,0.127109,0.525539,-0.15434,0.9012
8,266,0.346256,0.529343,-6.5e-05,0.069317,-0.630571,0.146884,0.6009,0.020364,-0.590299,0.388914,0.5354,0.020337,-0.590724,0.389211,0.5561,0.019771,-0.591291,0.389066,0.5299,0.032413,-0.59347,0.391316,0.5535,0.032749,-0.594092,0.390705,0.5753,0.032091,-0.595511,0.390223,0.5525,0.016436,-0.544569,0.293092,0.5627,0.082492,-0.615134,0.092151,0.5864,0.013968,-0.534277,0.386375,0.5773,0.065481,-0.56745,0.21095,0.6248,-0.132923,-0.239343,0.195228,0.9959,0.015557,-0.33562,0.238103,0.9983,-0.055837,-0.264903,0.056284,0.1663,0.015095,-0.192211,0.060721,0.2727,-0.027832,-0.224261,0.039528,0.3236,0.002069,0.005397,-0.02529,0.3075,-0.080288,0.19545,0.030132,0.4334,0.00808,0.046716,-0.009489,0.3777,-0.081627,0.208359,0.05658,0.4225,0.000384,0.035038,-0.004168,0.3594,-0.016546,-0.229109,0.043216,0.3779,0.000269,0.015905,-0.016848,0.3344,-0.039212,0.026859,-0.001253,0.9997,0.039113,-0.027304,0.003124,0.9996,-0.073497,0.244407,0.19636,0.7073,0.123441,0.195372,0.113652,0.8186,-0.062894,0.441798,0.033123,0.9044,0.104699,0.422604,-0.095561,0.944,-0.052385,0.474745,0.010749,0.9512,0.101737,0.460249,-0.112257,0.9619,-0.056305,0.547402,0.013535,0.8473,0.126119,0.53995,-0.142404,0.8961
9,300,0.345007,0.527196,3.8e-05,0.070416,-0.625256,0.154588,0.6314,0.023227,-0.588024,0.384802,0.5687,0.02328,-0.588384,0.384991,0.5856,0.02263,-0.58903,0.384987,0.5649,0.035292,-0.591144,0.3863,0.587,0.035727,-0.591684,0.385529,0.6057,0.03499,-0.593172,0.385226,0.5886,0.01742,-0.544226,0.291929,0.5931,0.082178,-0.611463,0.097655,0.618,0.016534,-0.532333,0.38258,0.6102,0.066134,-0.563814,0.214449,0.6532,-0.121659,-0.256578,0.197328,0.9962,0.017904,-0.343291,0.2316,0.9984,0.004903,-0.235629,0.154405,0.1507,-0.044388,-0.16386,0.058661,0.2639,0.036995,-0.052059,0.073714,0.2922,-0.08696,0.011628,-0.020319,0.2885,-0.080288,0.19545,0.030132,0.3917,-0.083705,0.056322,-0.020512,0.3546,-0.081627,0.208359,0.05658,0.3818,-0.080606,0.042696,-0.014688,0.3372,0.046244,-0.044019,0.0685,0.3418,-0.082537,0.01886,-0.016333,0.3129,-0.036031,0.025614,-0.00077,0.9997,0.03597,-0.02606,0.0026,0.9995,-0.072504,0.253497,0.182437,0.7252,0.119524,0.205449,0.106051,0.8231,-0.062935,0.462313,0.030793,0.905,0.104276,0.441295,-0.084706,0.9402,-0.053585,0.496887,0.01013,0.9464,0.101011,0.479397,-0.099441,0.947,-0.057675,0.564736,0.006636,0.8433,0.122403,0.555929,-0.133099,0.8912
