frame_idx,timestamp_ms,nose_x,nose_y,nose_z,nose_v,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_v,left_eye_x,left_eye_y,left_eye_z,left_eye_v,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_v,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_v,right_eye_x,right_eye_y,right_eye_z,right_eye_v,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_v,left_ear_x,left_ear_y,left_ear_z,left_ear_v,right_ear_x,right_ear_y,right_ear_z,right_ear_v,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_v,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_v,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_v,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_v,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_v,left_index_x,left_index_y,left_index_z,left_index_v,right_index_x,right_index_y,right_index_z,right_index_v,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_v,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_v,left_hip_x,left_hip_y,left_hip_z,left_hip_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,left_knee_x,left_knee_y,left_knee_z,left_knee_v,right_knee_x,right_knee_y,right_knee_z,right_knee_v,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_v,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_v,left_heel_x,left_heel_y,left_heel_z,left_heel_v,right_heel_x,right_heel_y,right_heel_z,right_heel_v,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_v,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_v
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,200,0.094627,-0.308328,0.102024,0.9993,0.095072,-0.321996,0.111392,0.9992,0.098344,-0.320393,0.120171,0.9992,0.09945,-0.321318,0.114987,0.9995,0.096885,-0.333353,0.089957,0.9996,0.101616,-0.331052,0.077402,0.9996,0.105308,-0.323633,0.095427,0.9996,0.075447,-0.312453,0.168266,0.9991,0.032404,-0.282966,0.122481,0.9984,0.095624,-0.309217,0.133323,0.9976,0.084427,-0.271604,0.0917,0.9979,0.055705,-0.206748,0.203365,1.0,0.005426,-0.30342,0.193623,0.9999,0.056527,0.007872,0.141172,0.0522,0.024913,-0.099322,0.061145,0.0284,0.053721,0.216473,0.17384,0.0912,0.014246,-0.014061,-0.029595,0.0729,0.041608,0.249314,0.183449,0.094,0.041584,-0.013157,-0.081096,0.0843,0.031828,0.25192,0.175704,0.0925,0.068138,-0.03538,-0.078335,0.0797,0.051731,0.242354,0.17191,0.0749,0.020168,-0.017557,-0.037926,0.0603,0.035143,0.003019,0.024099,1.0,-0.030495,-0.007776,-0.021575,1.0,0.020489,0.309244,-0.131237,0.582,0.051656,0.29,-0.294365,0.5914,0.031267,0.61959,-0.220674,0.8656,0.028776,0.600101,-0.343586,0.7869,0.012984,0.653523,-0.229394,0.7163,0.025551,0.624865,-0.392058,0.6114,0.021248,0.612776,-0.298414,0.8189,0.017836,0.583731,-0.498721,0.7794
7,233,0.09191,-0.322328,0.102454,0.9626,0.091348,-0.335354,0.110653,0.952,0.094507,-0.333932,0.119433,0.9485,0.095571,-0.334853,0.114443,0.9523,0.095035,-0.347051,0.0895,0.9668,0.099613,-0.34485,0.077054,0.9728,0.103335,-0.337136,0.09509,0.9806,0.070833,-0.325447,0.160541,0.958,0.033788,-0.295324,0.117163,0.9698,0.093181,-0.321839,0.132975,0.9281,0.083485,-0.28478,0.091674,0.9411,0.048922,-0.223081,0.197669,0.9993,0.014468,-0.319216,0.18704,0.9998,-0.029519,-0.507543,0.148599,0.0557,0.142248,-0.537573,0.070951,0.075,0.028839,-0.556059,0.313346,0.0871,0.146922,-0.581131,0.146113,0.1202,0.023584,-0.599024,0.354614,0.0903,0.186999,-0.625637,0.123607,0.1199,0.024108,-0.590928,0.349509,0.089,0.202344,-0.635684,0.136955,0.1132,0.037498,-0.539044,0.319887,0.0725,0.145271,-0.59574,0.149384,0.0865,0.029141,0.002821,0.025233,0.9999,-0.024659,-0.007631,-0.022729,0.9999,0.01793,0.307734,-0.119084,0.5601,0.055733,0.28999,-0.281592,0.604,0.028866,0.618761,-0.195565,0.8541,0.030049,0.600101,-0.320712,0.7839,0.011187,0.65293,-0.207081,0.7278,0.026159,0.624879,-0.37284,0.6227,0.018622,0.612855,-0.26801,0.7817,0.019963,0.58448,-0.469347,0.7368
8,266,0.090412,-0.335822,0.112993,0.9611,0.088312,-0.348113,0.119379,0.9449,0.091558,-0.346843,0.127988,0.9392,0.092487,-0.347827,0.12324,0.9445,0.094003,-0.360313,0.098251,0.9645,0.098492,-0.358179,0.086047,0.9714,0.102132,-0.350407,0.104157,0.9796,0.066703,-0.338449,0.163263,0.9519,0.036451,-0.307719,0.120318,0.9661,0.091005,-0.334045,0.141046,0.9137,0.08358,-0.29745,0.099992,0.9324,0.041205,-0.237891,0.196926,0.9993,0.024271,-0.335498,0.182025,0.9998,-0.010521,-0.505382,0.222756,0.0771,0.16783,-0.539223,0.051595,0.1515,0.077561,-0.573178,0.367353,0.1004,0.181822,-0.591767,0.007552,0.1987,0.072699,-0.604839,0.402665,0.106,0.218137,-0.628297,-0.033773,0.1964,0.076684,-0.608059,0.392653,0.1053,0.22554,-0.640995,-0.019357,0.1883,0.090468,-0.560753,0.37065,0.0893,0.178068,-0.603778,0.017235,0.1586,0.021641,0.003151,0.026261,0.9999,-0.01733,-0.008082,-0.023751,0.9999,0.014193,0.308453,-0.110588,0.6021,0.061337,0.289444,-0.271046,0.642,0.026099,0.619821,-0.182755,0.8672,0.032436,0.600115,-0.306399,0.804,0.008862,0.654002,-0.195295,0.7541,0.027582,0.625016,-0.360492,0.659,0.014072,0.617878,-0.250634,0.7985,0.021938,0.586911,-0.449507,0.7559
9,300,0.095431,-0.348177,0.119577,0.9616,0.092829,-0.360118,0.124776,0.9405,0.095893,-0.358926,0.133293,0.9343,0.096881,-0.360031,0.128688,0.9405,0.100032,-0.372607,0.10376,0.9633,0.104577,-0.3706,0.091716,0.9706,0.108244,-0.362799,0.109825,0.9789,0.068424,-0.353157,0.164768,0.9483,0.045566,-0.32141,0.120375,0.9639,0.09411,-0.34618,0.146122,0.9048,0.088736,-0.309943,0.105262,0.9279,0.03543,-0.255548,0.194931,0.9993,0.036145,-0.350484,0.177606,0.9998,-0.037593,-0.430653,0.158877,0.0807,0.134935,-0.370739,0.022753,0.1632,0.054407,-0.425376,0.236558,0.0944,0.166784,-0.345838,-0.021041,0.1977,0.058182,-0.439385,0.259068,0.1015,0.169946,-0.364141,-0.052805,0.1976,0.074165,-0.436956,0.254745,0.1011,0.147463,-0.380965,-0.044485,0.1891,0.077007,-0.407921,0.237897,0.0862,0.133468,-0.353756,-0.014672,0.1565,0.014561,0.003467,0.027648,0.9999,-0.010382,-0.008497,-0.025155,0.9999,0.010275,0.312401,-0.103163,0.629,0.066825,0.288913,-0.259883,0.6718,0.022423,0.628092,-0.169886,0.8744,0.03474,0.602681,-0.289112,0.8185,0.00539,0.661523,-0.182874,0.7723,0.029031,0.627466,-0.345103,0.6856,0.008869,0.628,-0.233447,0.8003,0.024448,0.59205,-0.425879,0.7615
